Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
StudentFormDDTSuite,Chrome 144.0.0.0,DDT Test Suite - 1 TC runs all 9 rows from Student Data Scenario.csv,,20-02-2026 12:43:51,20-02-2026 12:46:45,"2m - 53,570s",PASSED
,,,,,,,
Test Cases/TC_StudentForm_DDT,Chrome 144.0.0.0,DDT Student Form - runs all rows from Student Data Scenario.csv,,20-02-2026 12:43:52,20-02-2026 12:44:20,"28,303s",PASSED
"openBrowser("""")",Chrome 144.0.0.0,,,20-02-2026 12:43:53,20-02-2026 12:43:57,"3,526s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 144.0.0.0,,,20-02-2026 12:43:57,20-02-2026 12:43:59,"2,167s",PASSED
maximizeWindow(),Chrome 144.0.0.0,,,20-02-2026 12:43:59,20-02-2026 12:43:59,"0,112s",PASSED
waitForPageLoad(10),Chrome 144.0.0.0,,,20-02-2026 12:43:59,20-02-2026 12:44:00,"1,116s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/card_elements""), 5)",Chrome 144.0.0.0,,,20-02-2026 12:44:00,20-02-2026 12:44:01,"0,640s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/card_elements""))))",Chrome 144.0.0.0,,,20-02-2026 12:44:01,20-02-2026 12:44:01,"0,320s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/menu_forms""))))",Chrome 144.0.0.0,,,20-02-2026 12:44:01,20-02-2026 12:44:01,"0,325s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 12:44:01,20-02-2026 12:44:03,"1,092s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/menu_practiceForm""))))",Chrome 144.0.0.0,,,20-02-2026 12:44:03,20-02-2026 12:44:03,"0,145s",PASSED
waitForPageLoad(5),Chrome 144.0.0.0,,,20-02-2026 12:44:03,20-02-2026 12:44:03,"0,099s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/label_Male_custom-control-label""), 1)",Chrome 144.0.0.0,,,20-02-2026 12:44:03,20-02-2026 12:44:03,"0,138s",PASSED
if (FirstName),Chrome 144.0.0.0,,,20-02-2026 12:44:03,20-02-2026 12:44:03,"0,478s",PASSED
if (LastName),Chrome 144.0.0.0,,,20-02-2026 12:44:03,20-02-2026 12:44:04,"0,416s",PASSED
if (StudentEmail),Chrome 144.0.0.0,,,20-02-2026 12:44:04,20-02-2026 12:44:04,"0,355s",PASSED
"if (!(Scenario.startsWith(""TC005"")))",Chrome 144.0.0.0,,,20-02-2026 12:44:04,20-02-2026 12:44:04,"0,064s",PASSED
if (MobileNumber),Chrome 144.0.0.0,,,20-02-2026 12:44:04,20-02-2026 12:44:05,"0,339s",PASSED
"if (Scenario.startsWith(""TC009""))",Chrome 144.0.0.0,,,20-02-2026 12:44:05,20-02-2026 12:44:05,"0,003s",PASSED
"dobParts = DateOfBirth.split(""-"")",Chrome 144.0.0.0,,,20-02-2026 12:44:05,20-02-2026 12:44:05,"0,010s",PASSED
dobYear = dobParts[0],Chrome 144.0.0.0,,,20-02-2026 12:44:05,20-02-2026 12:44:05,"0,018s",PASSED
dobMonth = String.valueOf(Integer.parseInt(dobParts[1]) - 1),Chrome 144.0.0.0,,,20-02-2026 12:44:05,20-02-2026 12:44:05,"0,014s",PASSED
dobDay = String.valueOf(Integer.parseInt(dobParts[2])),Chrome 144.0.0.0,,,20-02-2026 12:44:05,20-02-2026 12:44:05,"0,002s",PASSED
"executeJavaScript(""document.getElementById('dateOfBirthInput').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 12:44:05,20-02-2026 12:44:05,"0,139s",PASSED
"executeJavaScript(""document.querySelector('.react-datepicker__year-select').value='"" + dobYear + ""'; document.querySelector('.react-datepicker__year-select').dispatchEvent(new Event('change',{bubbles:true}));"", null)",Chrome 144.0.0.0,,,20-02-2026 12:44:05,20-02-2026 12:44:05,"0,093s",PASSED
"executeJavaScript(""document.querySelector('.react-datepicker__month-select').value='"" + dobMonth + ""'; document.querySelector('.react-datepicker__month-select').dispatchEvent(new Event('change',{bubbles:true}));"", null)",Chrome 144.0.0.0,,,20-02-2026 12:44:05,20-02-2026 12:44:05,"0,067s",PASSED
"executeJavaScript(""var days=document.querySelectorAll('.react-datepicker__day:not(.react-datepicker__day--outside-month)'); for(var d of days){if(d.textContent.trim()==='"" + dobDay + ""'){d.click();break;}}"", null)",Chrome 144.0.0.0,,,20-02-2026 12:44:05,20-02-2026 12:44:05,"0,056s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 12:44:05,20-02-2026 12:44:06,"1,021s",PASSED
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Subjects_subjectsInput""), ""A"")",Chrome 144.0.0.0,,,20-02-2026 12:44:06,20-02-2026 12:44:06,"0,375s",PASSED
"executeJavaScript(""document.querySelector('[id^=react-select-2-option]').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 12:44:06,20-02-2026 12:44:06,"0,050s",PASSED
"executeJavaScript(""document.querySelector('label[for=hobbies-checkbox-3]').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 12:44:06,20-02-2026 12:44:06,"0,036s",PASSED
"uploadFile(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Select picture_uploadPicture""), getProjectDir() + ""/Data Files/student_photo.jpg"")",Chrome 144.0.0.0,,,20-02-2026 12:44:06,20-02-2026 12:44:07,"0,158s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/textarea_Current Address_currentAddress""), 3)",Chrome 144.0.0.0,,,20-02-2026 12:44:07,20-02-2026 12:44:07,"0,087s",PASSED
if (CurrentAddress),Chrome 144.0.0.0,,,20-02-2026 12:44:07,20-02-2026 12:44:07,"0,308s",PASSED
"executeJavaScript(""window.scrollBy(0, 300)"", null)",Chrome 144.0.0.0,,,20-02-2026 12:44:07,20-02-2026 12:44:07,"0,025s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 12:44:07,20-02-2026 12:44:08,"1,019s",PASSED
"executeJavaScript(""var ads=document.querySelectorAll('.ad-container,.close-button,#adplus-anchor,[id*=google_ads],[class*=adsbygoogle]'); ads.forEach(function(a){a.remove();});"", null)",Chrome 144.0.0.0,,,20-02-2026 12:44:08,20-02-2026 12:44:08,"0,024s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 12:44:08,20-02-2026 12:44:09,"1,007s",PASSED
"if (Scenario.startsWith(""TC007""))",Chrome 144.0.0.0,,,20-02-2026 12:44:09,20-02-2026 12:44:09,"0,004s",PASSED
