Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/textarea_Current Address_currentAddress""), CurrentAddress)",Chrome 144.0.0.0,,,20-02-2026 16:17:20,20-02-2026 16:17:20,"0,444s",PASSED
"executeJavaScript(""window.scrollBy(0, 300)"", null)",Chrome 144.0.0.0,,,20-02-2026 16:17:20,20-02-2026 16:17:20,"0,031s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:17:20,20-02-2026 16:17:21,"1,017s",PASSED
"executeJavaScript(""var ads=document.querySelectorAll('.ad-container,.close-button,#adplus-anchor,[id*=google_ads],[class*=adsbygoogle]'); ads.forEach(function(a){a.remove();});"", null)",Chrome 144.0.0.0,,,20-02-2026 16:17:21,20-02-2026 16:17:21,"0,052s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:17:21,20-02-2026 16:17:22,"1,025s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_state_container""), 3)",Chrome 144.0.0.0,,,20-02-2026 16:17:22,20-02-2026 16:17:23,"0,118s",PASSED
"click(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_state_container""))",Chrome 144.0.0.0,,,20-02-2026 16:17:23,20-02-2026 16:17:23,"0,186s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:17:23,20-02-2026 16:17:24,"1,015s",PASSED
"for ([i = 0, i < 10, (i++)])",Chrome 144.0.0.0,,,20-02-2026 16:17:24,20-02-2026 16:17:24,"0,048s",PASSED
"executeJavaScript(""var o=document.querySelectorAll('[id^=react-select-3-option]'); for(var i=0;i<o.length;i++){if(o[i].innerText.trim()===arguments[0]){o[i].click();break;}}"", Arrays.asList(state))",Chrome 144.0.0.0,,,20-02-2026 16:17:24,20-02-2026 16:17:24,"0,051s",PASSED
delay(2),Chrome 144.0.0.0,,,20-02-2026 16:17:24,20-02-2026 16:17:26,"2,024s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_city_container""), 3)",Chrome 144.0.0.0,,,20-02-2026 16:17:26,20-02-2026 16:17:26,"0,139s",PASSED
"click(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_city_container""))",Chrome 144.0.0.0,,,20-02-2026 16:17:26,20-02-2026 16:17:26,"0,174s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:17:26,20-02-2026 16:17:27,"1,021s",PASSED
"for ([i = 0, i < 10, (i++)])",Chrome 144.0.0.0,,,20-02-2026 16:17:27,20-02-2026 16:17:27,"0,049s",PASSED
"executeJavaScript(""var o=document.querySelectorAll('[id^=react-select-4-option]'); for(var i=0;i<o.length;i++){if(o[i].innerText.trim()===arguments[0]){o[i].click();break;}}"", Arrays.asList(city))",Chrome 144.0.0.0,,,20-02-2026 16:17:27,20-02-2026 16:17:27,"0,040s",PASSED
"executeJavaScript(""document.getElementById('submit').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 16:17:27,20-02-2026 16:17:27,"0,072s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:17:27,20-02-2026 16:17:28,"1,025s",PASSED
"popupText = executeJavaScript(""return document.getElementById('example-modal-sizes-title-lg') ? document.getElementById('example-modal-sizes-title-lg').innerText.trim() : '';"", null)",Chrome 144.0.0.0,,,20-02-2026 16:17:28,20-02-2026 16:17:28,"0,033s",PASSED
"if (popupText.equals(""Thanks for submitting the form""))",Chrome 144.0.0.0,,,20-02-2026 16:17:28,20-02-2026 16:17:29,"0,550s",PASSED
"executeJavaScript(""document.body.style.zoom='60%'"", null)",Chrome 144.0.0.0,,,20-02-2026 16:17:29,20-02-2026 16:17:29,"0,072s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:17:29,20-02-2026 16:17:30,"1,034s",PASSED
"executeJavaScript(""var btn=document.getElementById('closeLargeModal'); if(btn) btn.click();"", null)",Chrome 144.0.0.0,,,20-02-2026 16:17:30,20-02-2026 16:17:30,"0,034s",PASSED
"executeJavaScript(""document.body.style.zoom='100%'"", null)",Chrome 144.0.0.0,,,20-02-2026 16:17:30,20-02-2026 16:17:30,"0,020s",PASSED
delay(3),Chrome 144.0.0.0,,,20-02-2026 16:17:30,20-02-2026 16:17:33,"3,020s",PASSED
closeBrowser(),Chrome 144.0.0.0,,,20-02-2026 16:17:33,20-02-2026 16:17:34,"0,385s",PASSED
,,,,,,,
Test Cases/TC002,Chrome 144.0.0.0,Submit Student Registration Form without Last Name,,20-02-2026 16:17:34,20-02-2026 16:17:57,"23,234s",PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 144.0.0.0,,,20-02-2026 16:17:34,20-02-2026 16:17:34,"0,005s",PASSED
"openBrowser("""")",Chrome 144.0.0.0,,,20-02-2026 16:17:34,20-02-2026 16:17:35,"1,216s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 144.0.0.0,,,20-02-2026 16:17:35,20-02-2026 16:17:39,"3,630s",PASSED
maximizeWindow(),Chrome 144.0.0.0,,,20-02-2026 16:17:39,20-02-2026 16:17:39,"0,059s",PASSED
waitForPageLoad(10),Chrome 144.0.0.0,,,20-02-2026 16:17:39,20-02-2026 16:17:39,"0,027s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/card_elements""), 5)",Chrome 144.0.0.0,,,20-02-2026 16:17:39,20-02-2026 16:17:39,"0,171s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/card_elements""))))",Chrome 144.0.0.0,,,20-02-2026 16:17:39,20-02-2026 16:17:39,"0,198s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/menu_forms""))))",Chrome 144.0.0.0,,,20-02-2026 16:17:39,20-02-2026 16:17:40,"0,505s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:17:40,20-02-2026 16:17:41,"1,012s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/menu_practiceForm""))))",Chrome 144.0.0.0,,,20-02-2026 16:17:41,20-02-2026 16:17:41,"0,092s",PASSED
waitForPageLoad(5),Chrome 144.0.0.0,,,20-02-2026 16:17:41,20-02-2026 16:17:41,"0,051s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/label_Male_custom-control-label""), 1)",Chrome 144.0.0.0,,,20-02-2026 16:17:41,20-02-2026 16:17:41,"0,067s",PASSED
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Name_firstName""), FirstName)",Chrome 144.0.0.0,,,20-02-2026 16:17:41,20-02-2026 16:17:41,"0,312s",PASSED
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Email_userEmail""), StudentEmail)",Chrome 144.0.0.0,,,20-02-2026 16:17:41,20-02-2026 16:17:42,"0,361s",PASSED
"click(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/label_Male_custom-control-label""))",Chrome 144.0.0.0,,,20-02-2026 16:17:42,20-02-2026 16:17:42,"0,125s",PASSED
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_(10 Digits)_userNumber""), MobileNumber)",Chrome 144.0.0.0,,,20-02-2026 16:17:42,20-02-2026 16:17:42,"0,231s",PASSED
"dobParts = DateOfBirth.split(""-"")",Chrome 144.0.0.0,,,20-02-2026 16:17:42,20-02-2026 16:17:42,"0,002s",PASSED
dobYear = dobParts[0],Chrome 144.0.0.0,,,20-02-2026 16:17:42,20-02-2026 16:17:42,"0,002s",PASSED
dobMonth = String.valueOf(Integer.parseInt(dobParts[1]) - 1),Chrome 144.0.0.0,,,20-02-2026 16:17:42,20-02-2026 16:17:42,"0,004s",PASSED
dobDay = String.valueOf(Integer.parseInt(dobParts[2])),Chrome 144.0.0.0,,,20-02-2026 16:17:42,20-02-2026 16:17:42,"0,002s",PASSED
"executeJavaScript(""document.getElementById('dateOfBirthInput').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 16:17:42,20-02-2026 16:17:42,"0,076s",PASSED
"executeJavaScript(""document.querySelector('.react-datepicker__year-select').value='"" + dobYear + ""'; document.querySelector('.react-datepicker__year-select').dispatchEvent(new Event('change',{bubbles:true}));"", null)",Chrome 144.0.0.0,,,20-02-2026 16:17:42,20-02-2026 16:17:42,"0,041s",PASSED
"executeJavaScript(""document.querySelector('.react-datepicker__month-select').value='"" + dobMonth + ""'; document.querySelector('.react-datepicker__month-select').dispatchEvent(new Event('change',{bubbles:true}));"", null)",Chrome 144.0.0.0,,,20-02-2026 16:17:42,20-02-2026 16:17:42,"0,056s",PASSED
"executeJavaScript(""var days=document.querySelectorAll('.react-datepicker__day:not(.react-datepicker__day--outside-month)'); for(var d of days){if(d.textContent.trim()==='"" + dobDay + ""'){d.click();break;}}"", null)",Chrome 144.0.0.0,,,20-02-2026 16:17:42,20-02-2026 16:17:42,"0,036s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:17:42,20-02-2026 16:17:43,"1,012s",PASSED
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Subjects_subjectsInput""), ""A"")",Chrome 144.0.0.0,,,20-02-2026 16:17:43,20-02-2026 16:17:44,"0,357s",PASSED
"executeJavaScript(""document.querySelector('[id^=react-select-2-option]').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 16:17:44,20-02-2026 16:17:44,"0,025s",PASSED
"executeJavaScript(""document.querySelector('label[for=hobbies-checkbox-3]').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 16:17:44,20-02-2026 16:17:44,"0,076s",PASSED
"uploadFile(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Select picture_uploadPicture""), getProjectDir() + ""/Data Files/student_photo.jpg"")",Chrome 144.0.0.0,,,20-02-2026 16:17:44,20-02-2026 16:17:44,"0,110s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/textarea_Current Address_currentAddress""), 3)",Chrome 144.0.0.0,,,20-02-2026 16:17:44,20-02-2026 16:17:44,"0,064s",PASSED
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/textarea_Current Address_currentAddress""), CurrentAddress)",Chrome 144.0.0.0,,,20-02-2026 16:17:44,20-02-2026 16:17:44,"0,510s",PASSED
"executeJavaScript(""window.scrollBy(0, 300)"", null)",Chrome 144.0.0.0,,,20-02-2026 16:17:44,20-02-2026 16:17:44,"0,017s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:17:44,20-02-2026 16:17:45,"1,011s",PASSED
"executeJavaScript(""var ads=document.querySelectorAll('.ad-container,.close-button,#adplus-anchor,[id*=google_ads],[class*=adsbygoogle]'); ads.forEach(function(a){a.remove();});"", null)",Chrome 144.0.0.0,,,20-02-2026 16:17:45,20-02-2026 16:17:45,"0,025s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:17:45,20-02-2026 16:17:46,"1,030s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_state_container""), 3)",Chrome 144.0.0.0,,,20-02-2026 16:17:46,20-02-2026 16:17:47,"0,118s",PASSED
"click(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_state_container""))",Chrome 144.0.0.0,,,20-02-2026 16:17:47,20-02-2026 16:17:47,"0,127s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:17:47,20-02-2026 16:17:48,"1,015s",PASSED
"for ([i = 0, i < 10, (i++)])",Chrome 144.0.0.0,,,20-02-2026 16:17:48,20-02-2026 16:17:48,"0,032s",PASSED
"executeJavaScript(""var o=document.querySelectorAll('[id^=react-select-3-option]'); for(var i=0;i<o.length;i++){if(o[i].innerText.trim()===arguments[0]){o[i].click();break;}}"", Arrays.asList(state))",Chrome 144.0.0.0,,,20-02-2026 16:17:48,20-02-2026 16:17:48,"0,034s",PASSED
delay(2),Chrome 144.0.0.0,,,20-02-2026 16:17:48,20-02-2026 16:17:50,"2,016s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_city_container""), 3)",Chrome 144.0.0.0,,,20-02-2026 16:17:50,20-02-2026 16:17:50,"0,090s",PASSED
"click(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_city_container""))",Chrome 144.0.0.0,,,20-02-2026 16:17:50,20-02-2026 16:17:50,"0,156s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:17:50,20-02-2026 16:17:51,"1,005s",PASSED
"for ([i = 0, i < 10, (i++)])",Chrome 144.0.0.0,,,20-02-2026 16:17:51,20-02-2026 16:17:51,"0,037s",PASSED
"executeJavaScript(""var o=document.querySelectorAll('[id^=react-select-4-option]'); for(var i=0;i<o.length;i++){if(o[i].innerText.trim()===arguments[0]){o[i].click();break;}}"", Arrays.asList(city))",Chrome 144.0.0.0,,,20-02-2026 16:17:51,20-02-2026 16:17:51,"0,029s",PASSED
"executeJavaScript(""document.getElementById('submit').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 16:17:51,20-02-2026 16:17:51,"0,064s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:17:51,20-02-2026 16:17:52,"1,013s",PASSED
"titleText = executeJavaScript(""return document.querySelector('h5') ? document.querySelector('h5').innerText.trim() : '';"", null)",Chrome 144.0.0.0,,,20-02-2026 16:17:52,20-02-2026 16:17:52,"0,024s",PASSED
"if (titleText.equals(""Student Registration Form""))",Chrome 144.0.0.0,,,20-02-2026 16:17:52,20-02-2026 16:17:53,"1,290s",PASSED
delay(3),Chrome 144.0.0.0,,,20-02-2026 16:17:54,20-02-2026 16:17:57,"3,005s",PASSED
closeBrowser(),Chrome 144.0.0.0,,,20-02-2026 16:17:57,20-02-2026 16:17:57,"0,341s",PASSED
,,,,,,,
Test Cases/TC003,Chrome 144.0.0.0,Submit Student Registration Form without First Name,,20-02-2026 16:17:57,20-02-2026 16:18:19,"21,879s",PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 144.0.0.0,,,20-02-2026 16:17:57,20-02-2026 16:17:57,"0,002s",PASSED
"openBrowser("""")",Chrome 144.0.0.0,,,20-02-2026 16:17:57,20-02-2026 16:17:58,"1,133s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 144.0.0.0,,,20-02-2026 16:17:58,20-02-2026 16:18:00,"2,069s",PASSED
maximizeWindow(),Chrome 144.0.0.0,,,20-02-2026 16:18:00,20-02-2026 16:18:00,"0,075s",PASSED
waitForPageLoad(10),Chrome 144.0.0.0,,,20-02-2026 16:18:00,20-02-2026 16:18:00,"0,030s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/card_elements""), 5)",Chrome 144.0.0.0,,,20-02-2026 16:18:00,20-02-2026 16:18:01,"0,155s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/card_elements""))))",Chrome 144.0.0.0,,,20-02-2026 16:18:01,20-02-2026 16:18:01,"0,263s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/menu_forms""))))",Chrome 144.0.0.0,,,20-02-2026 16:18:01,20-02-2026 16:18:01,"0,420s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:18:01,20-02-2026 16:18:02,"1,030s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/menu_practiceForm""))))",Chrome 144.0.0.0,,,20-02-2026 16:18:02,20-02-2026 16:18:02,"0,158s",PASSED
waitForPageLoad(5),Chrome 144.0.0.0,,,20-02-2026 16:18:02,20-02-2026 16:18:03,"0,057s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/label_Male_custom-control-label""), 1)",Chrome 144.0.0.0,,,20-02-2026 16:18:03,20-02-2026 16:18:03,"0,149s",PASSED
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Name_lastName""), LastName)",Chrome 144.0.0.0,,,20-02-2026 16:18:03,20-02-2026 16:18:03,"0,322s",PASSED
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Email_userEmail""), StudentEmail)",Chrome 144.0.0.0,,,20-02-2026 16:18:03,20-02-2026 16:18:03,"0,312s",PASSED
"click(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/label_Male_custom-control-label""))",Chrome 144.0.0.0,,,20-02-2026 16:18:03,20-02-2026 16:18:04,"0,165s",PASSED
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_(10 Digits)_userNumber""), MobileNumber)",Chrome 144.0.0.0,,,20-02-2026 16:18:04,20-02-2026 16:18:04,"0,214s",PASSED
"dobParts = DateOfBirth.split(""-"")",Chrome 144.0.0.0,,,20-02-2026 16:18:04,20-02-2026 16:18:04,"0,002s",PASSED
dobYear = dobParts[0],Chrome 144.0.0.0,,,20-02-2026 16:18:04,20-02-2026 16:18:04,"0,001s",PASSED
dobMonth = String.valueOf(Integer.parseInt(dobParts[1]) - 1),Chrome 144.0.0.0,,,20-02-2026 16:18:04,20-02-2026 16:18:04,"0,002s",PASSED
dobDay = String.valueOf(Integer.parseInt(dobParts[2])),Chrome 144.0.0.0,,,20-02-2026 16:18:04,20-02-2026 16:18:04,"0,004s",PASSED
"executeJavaScript(""document.getElementById('dateOfBirthInput').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 16:18:04,20-02-2026 16:18:04,"0,086s",PASSED
"executeJavaScript(""document.querySelector('.react-datepicker__year-select').value='"" + dobYear + ""'; document.querySelector('.react-datepicker__year-select').dispatchEvent(new Event('change',{bubbles:true}));"", null)",Chrome 144.0.0.0,,,20-02-2026 16:18:04,20-02-2026 16:18:04,"0,057s",PASSED
"executeJavaScript(""document.querySelector('.react-datepicker__month-select').value='"" + dobMonth + ""'; document.querySelector('.react-datepicker__month-select').dispatchEvent(new Event('change',{bubbles:true}));"", null)",Chrome 144.0.0.0,,,20-02-2026 16:18:04,20-02-2026 16:18:04,"0,040s",PASSED
"executeJavaScript(""var days=document.querySelectorAll('.react-datepicker__day:not(.react-datepicker__day--outside-month)'); for(var d of days){if(d.textContent.trim()==='"" + dobDay + ""'){d.click();break;}}"", null)",Chrome 144.0.0.0,,,20-02-2026 16:18:04,20-02-2026 16:18:04,"0,033s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:18:04,20-02-2026 16:18:05,"1,016s",PASSED
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Subjects_subjectsInput""), ""A"")",Chrome 144.0.0.0,,,20-02-2026 16:18:05,20-02-2026 16:18:05,"0,276s",PASSED
"executeJavaScript(""document.querySelector('[id^=react-select-2-option]').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 16:18:05,20-02-2026 16:18:05,"0,048s",PASSED
"executeJavaScript(""document.querySelector('label[for=hobbies-checkbox-3]').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 16:18:05,20-02-2026 16:18:05,"0,056s",PASSED
"uploadFile(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Select picture_uploadPicture""), getProjectDir() + ""/Data Files/student_photo.jpg"")",Chrome 144.0.0.0,,,20-02-2026 16:18:05,20-02-2026 16:18:05,"0,114s",PASSED
